Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1984","1984","t","36100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1984","1984","t","70700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1984","1984","kg/ha","116.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1984","1984","kg/cap","10.98","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1984","1984","g/Int$","16.84","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1985","1985","t","39600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1985","1985","t","36700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1985","1985","t","71900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1985","1985","kg/ha","117.8","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1985","1985","kg/cap","11.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1985","1985","g/Int$","17.45","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1986","1986","t","35400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1986","1986","t","37000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1986","1986","t","71100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1986","1986","kg/ha","116.56","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1986","1986","kg/cap","10.93","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1986","1986","g/Int$","17.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1987","1987","t","32000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1987","1987","t","39100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1987","1987","t","72600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1987","1987","kg/ha","120.51","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5172","Use per capita","3102","Nutrient nitrogen N (total)","1987","1987","kg/cap","11.09","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1987","1987","g/Int$","18.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","756","Switzerland","5510","Production","3102","Nutrient nitrogen N (total)","1988","1988","t","33200","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5610","Import quantity","3102","Nutrient nitrogen N (total)","1988","1988","t","38200","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1988","1988","t","71600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","756","Switzerland","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1988","1988","kg/ha","117.86","E","Estimated value",""
